url,WeekID,WeekPosition,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,BPM
101,1/3/2015,101,101,101,101,101,101,101,101,101
101,1/10/2015,101,101,101,101,101,101,101,101,101
101,1/17/2015,101,101,101,101,101,101,101,101,101
101,1/24/2015,101,101,101,101,101,101,101,101,101
101,1/31/2015,101,101,101,101,101,101,101,101,101
101,2/7/2015,101,101,101,101,101,101,101,101,101
101,2/14/2015,101,101,101,101,101,101,101,101,101
101,2/21/2015,101,101,101,101,101,101,101,101,101
101,2/28/2015,101,101,101,101,101,101,101,101,101
101,3/7/2015,101,101,101,101,101,101,101,101,101
101,3/14/2015,101,101,101,101,101,101,101,101,101
101,3/21/2015,101,101,101,101,101,101,101,101,101
101,3/28/2015,101,101,101,101,101,101,101,101,101
101,4/4/2015,101,101,101,101,101,101,101,101,101
101,4/11/2015,101,101,101,101,101,101,101,101,101
101,4/18/2015,101,101,101,101,101,101,101,101,101
101,4/25/2015,101,101,101,101,101,101,101,101,101
101,5/2/2015,101,101,101,101,101,101,101,101,101
101,5/9/2015,101,101,101,101,101,101,101,101,101
101,5/16/2015,101,101,101,101,101,101,101,101,101
101,5/23/2015,101,101,101,101,101,101,101,101,101
101,5/30/2015,101,101,101,101,101,101,101,101,101
101,6/6/2015,101,101,101,101,101,101,101,101,101
101,6/13/2015,101,101,101,101,101,101,101,101,101
101,6/20/2015,101,101,101,101,101,101,101,101,101
101,6/27/2015,101,101,101,101,101,101,101,101,101
101,7/4/2015,101,101,101,101,101,101,101,101,101
101,7/11/2015,101,101,101,101,101,101,101,101,101
101,7/18/2015,101,101,101,101,101,101,101,101,101
101,7/25/2015,101,101,101,101,101,101,101,101,101
101,8/1/2015,101,101,101,101,101,101,101,101,101
101,8/8/2015,101,101,101,101,101,101,101,101,101
101,8/15/2015,101,101,101,101,101,101,101,101,101
101,8/22/2015,101,101,101,101,101,101,101,101,101
101,8/29/2015,101,101,101,101,101,101,101,101,101
101,9/5/2015,101,101,101,101,101,101,101,101,101
101,9/12/2015,101,101,101,101,101,101,101,101,101
101,9/19/2015,101,101,101,101,101,101,101,101,101
101,9/26/2015,101,101,101,101,101,101,101,101,101
101,10/3/2015,101,101,101,101,101,101,101,101,101
101,10/10/2015,101,101,101,101,101,101,101,101,101
101,10/17/2015,101,101,101,101,101,101,101,101,101
101,10/24/2015,101,101,101,101,101,101,101,101,101
101,10/31/2015,101,101,101,101,101,101,101,101,101
http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,79,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,,79,1,119
http://www.billboard.com/charts/hot-100/2015-11-14,11/14/2015,83,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,79,79,2,119
http://www.billboard.com/charts/hot-100/2015-11-21,11/21/2015,85,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,83,79,3,119
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,86,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,85,79,4,119
http://www.billboard.com/charts/hot-100/2015-12-05,12/5/2015,93,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,86,79,5,119
http://www.billboard.com/charts/hot-100/2015-12-12,12/12/2015,86,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,93,79,6,119
http://www.billboard.com/charts/hot-100/2015-12-19,12/19/2015,72,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,86,72,7,119
http://www.billboard.com/charts/hot-100/2015-12-26,12/26/2015,63,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,72,63,8,119
http://www.billboard.com/charts/hot-100/2016-01-02,1/2/2016,47,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,63,47,9,119
http://www.billboard.com/charts/hot-100/2016-01-09,1/9/2016,43,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,47,43,10,119
http://www.billboard.com/charts/hot-100/2016-01-16,1/16/2016,41,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,43,41,11,119
http://www.billboard.com/charts/hot-100/2016-01-23,1/23/2016,26,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,41,26,12,119
http://www.billboard.com/charts/hot-100/2016-01-30,1/30/2016,22,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,26,22,13,119
http://www.billboard.com/charts/hot-100/2016-02-06,2/6/2016,22,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,22,22,14,119
http://www.billboard.com/charts/hot-100/2016-02-13,2/13/2016,18,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,22,18,15,119
http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,14,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,18,14,16,119
http://www.billboard.com/charts/hot-100/2016-02-27,2/27/2016,11,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,14,11,17,119
http://www.billboard.com/charts/hot-100/2016-03-05,3/5/2016,10,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,11,10,18,119
http://www.billboard.com/charts/hot-100/2016-03-12,3/12/2016,9,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,10,9,19,119
http://www.billboard.com/charts/hot-100/2016-03-19,3/19/2016,10,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,9,9,20,119
http://www.billboard.com/charts/hot-100/2016-03-26,3/26/2016,9,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,10,9,21,119
http://www.billboard.com/charts/hot-100/2016-04-02,4/2/2016,9,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,9,9,22,119
http://www.billboard.com/charts/hot-100/2016-04-09,4/9/2016,9,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,9,9,23,119
http://www.billboard.com/charts/hot-100/2016-04-16,4/16/2016,11,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,9,9,24,119
http://www.billboard.com/charts/hot-100/2016-04-23,4/23/2016,12,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,11,9,25,119
http://www.billboard.com/charts/hot-100/2016-04-30,4/30/2016,9,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,12,9,26,119
http://www.billboard.com/charts/hot-100/2016-05-07,5/7/2016,11,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,9,9,27,119
http://www.billboard.com/charts/hot-100/2016-05-14,5/14/2016,24,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,11,9,28,119
http://www.billboard.com/charts/hot-100/2016-05-21,5/21/2016,22,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,24,9,29,119
http://www.billboard.com/charts/hot-100/2016-05-28,5/28/2016,17,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,22,9,30,119
http://www.billboard.com/charts/hot-100/2016-06-04,6/4/2016,17,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,17,9,31,119
http://www.billboard.com/charts/hot-100/2016-06-11,6/11/2016,14,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,17,9,32,119
http://www.billboard.com/charts/hot-100/2016-06-18,6/18/2016,17,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,14,9,33,119
http://www.billboard.com/charts/hot-100/2016-06-25,6/25/2016,22,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,17,9,34,119
http://www.billboard.com/charts/hot-100/2016-07-02,7/2/2016,25,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,22,9,35,119
http://www.billboard.com/charts/hot-100/2016-07-09,7/9/2016,29,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,25,9,36,119
http://www.billboard.com/charts/hot-100/2016-07-16,7/16/2016,34,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,29,9,37,119
http://www.billboard.com/charts/hot-100/2016-07-23,7/23/2016,31,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,34,9,38,119
http://www.billboard.com/charts/hot-100/2016-07-30,7/30/2016,37,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,31,9,39,119
http://www.billboard.com/charts/hot-100/2016-08-06,8/6/2016,39,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,37,9,40,119
http://www.billboard.com/charts/hot-100/2016-08-13,8/13/2016,37,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,39,9,41,119
http://www.billboard.com/charts/hot-100/2016-08-20,8/20/2016,41,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,37,9,42,119
http://www.billboard.com/charts/hot-100/2016-08-27,8/27/2016,45,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,41,9,43,119
http://www.billboard.com/charts/hot-100/2016-09-03,9/3/2016,47,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,45,9,44,119
http://www.billboard.com/charts/hot-100/2016-09-10,9/10/2016,49,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,47,9,45,119
http://www.billboard.com/charts/hot-100/2016-09-17,9/17/2016,47,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,49,9,46,119
101,9/24/2016,101,101,101,101,101,101,101,101,101
101,10/1/2016,101,101,101,101,101,101,101,101,101
101,10/8/2016,101,101,101,101,101,101,101,101,101
101,10/15/2016,101,101,101,101,101,101,101,101,101
101,10/22/2016,101,101,101,101,101,101,101,101,101
101,10/29/2016,101,101,101,101,101,101,101,101,101
101,11/5/2016,101,101,101,101,101,101,101,101,101
101,11/12/2016,101,101,101,101,101,101,101,101,101
101,11/19/2016,101,101,101,101,101,101,101,101,101
101,11/26/2016,101,101,101,101,101,101,101,101,101
101,12/3/2016,101,101,101,101,101,101,101,101,101
101,12/10/2016,101,101,101,101,101,101,101,101,101
101,12/17/2016,101,101,101,101,101,101,101,101,101
101,12/24/2016,101,101,101,101,101,101,101,101,101
101,12/31/2016,101,101,101,101,101,101,101,101,101
101,1/7/2017,101,101,101,101,101,101,101,101,101
101,1/14/2017,101,101,101,101,101,101,101,101,101
101,1/21/2017,101,101,101,101,101,101,101,101,101
101,1/28/2017,101,101,101,101,101,101,101,101,101
101,2/4/2017,101,101,101,101,101,101,101,101,101
101,2/11/2017,101,101,101,101,101,101,101,101,101
101,2/18/2017,101,101,101,101,101,101,101,101,101
101,2/25/2017,101,101,101,101,101,101,101,101,101
101,3/4/2017,101,101,101,101,101,101,101,101,101
101,3/11/2017,101,101,101,101,101,101,101,101,101
101,3/18/2017,101,101,101,101,101,101,101,101,101
101,3/25/2017,101,101,101,101,101,101,101,101,101
101,4/1/2017,101,101,101,101,101,101,101,101,101
101,4/8/2017,101,101,101,101,101,101,101,101,101
101,4/15/2017,101,101,101,101,101,101,101,101,101
101,4/22/2017,101,101,101,101,101,101,101,101,101
101,4/29/2017,101,101,101,101,101,101,101,101,101
101,5/6/2017,101,101,101,101,101,101,101,101,101
101,5/13/2017,101,101,101,101,101,101,101,101,101
101,5/20/2017,101,101,101,101,101,101,101,101,101
101,5/27/2017,101,101,101,101,101,101,101,101,101
101,6/3/2017,101,101,101,101,101,101,101,101,101
101,6/10/2017,101,101,101,101,101,101,101,101,101
101,6/17/2017,101,101,101,101,101,101,101,101,101
101,6/24/2017,101,101,101,101,101,101,101,101,101
101,7/1/2017,101,101,101,101,101,101,101,101,101
101,7/8/2017,101,101,101,101,101,101,101,101,101
101,7/15/2017,101,101,101,101,101,101,101,101,101
101,7/22/2017,101,101,101,101,101,101,101,101,101
101,7/29/2017,101,101,101,101,101,101,101,101,101
101,8/5/2017,101,101,101,101,101,101,101,101,101
101,8/12/2017,101,101,101,101,101,101,101,101,101
101,8/19/2017,101,101,101,101,101,101,101,101,101
101,8/26/2017,101,101,101,101,101,101,101,101,101
101,9/2/2017,101,101,101,101,101,101,101,101,101
101,9/9/2017,101,101,101,101,101,101,101,101,101
101,9/16/2017,101,101,101,101,101,101,101,101,101
101,9/23/2017,101,101,101,101,101,101,101,101,101
101,9/30/2017,101,101,101,101,101,101,101,101,101
101,10/7/2017,101,101,101,101,101,101,101,101,101
101,10/14/2017,101,101,101,101,101,101,101,101,101
101,10/21/2017,101,101,101,101,101,101,101,101,101
101,10/28/2017,101,101,101,101,101,101,101,101,101
101,11/4/2017,101,101,101,101,101,101,101,101,101
101,11/11/2017,101,101,101,101,101,101,101,101,101
101,11/18/2017,101,101,101,101,101,101,101,101,101
101,11/25/2017,101,101,101,101,101,101,101,101,101
101,12/2/2017,101,101,101,101,101,101,101,101,101
101,12/9/2017,101,101,101,101,101,101,101,101,101
101,12/16/2017,101,101,101,101,101,101,101,101,101
101,12/23/2017,101,101,101,101,101,101,101,101,101
101,12/30/2017,101,101,101,101,101,101,101,101,101
101,1/6/2018,101,101,101,101,101,101,101,101,101
101,1/13/2018,101,101,101,101,101,101,101,101,101
101,1/20/2018,101,101,101,101,101,101,101,101,101
101,1/27/2018,101,101,101,101,101,101,101,101,101
101,2/3/2018,101,101,101,101,101,101,101,101,101
101,2/10/2018,101,101,101,101,101,101,101,101,101
101,2/17/2018,101,101,101,101,101,101,101,101,101
101,2/24/2018,101,101,101,101,101,101,101,101,101
101,3/3/2018,101,101,101,101,101,101,101,101,101
