url,WeekID,WeekPosition,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,BPM
101,1/3/2015,101,101,101,101,101,101,101,101,101
101,1/10/2015,101,101,101,101,101,101,101,101,101
101,1/17/2015,101,101,101,101,101,101,101,101,101
101,1/24/2015,101,101,101,101,101,101,101,101,101
101,1/31/2015,101,101,101,101,101,101,101,101,101
101,2/7/2015,101,101,101,101,101,101,101,101,101
101,2/14/2015,101,101,101,101,101,101,101,101,101
101,2/21/2015,101,101,101,101,101,101,101,101,101
101,2/28/2015,101,101,101,101,101,101,101,101,101
101,3/7/2015,101,101,101,101,101,101,101,101,101
101,3/14/2015,101,101,101,101,101,101,101,101,101
101,3/21/2015,101,101,101,101,101,101,101,101,101
101,3/28/2015,101,101,101,101,101,101,101,101,101
101,4/4/2015,101,101,101,101,101,101,101,101,101
101,4/11/2015,101,101,101,101,101,101,101,101,101
101,4/18/2015,101,101,101,101,101,101,101,101,101
101,4/25/2015,101,101,101,101,101,101,101,101,101
101,5/2/2015,101,101,101,101,101,101,101,101,101
101,5/9/2015,101,101,101,101,101,101,101,101,101
http://www.billboard.com/charts/hot-100/2015-05-16,5/16/2015,87,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,1,,87,1,170
101,5/23/2015,101,101,101,101,101,101,101,101,101
101,5/30/2015,101,101,101,101,101,101,101,101,101
http://www.billboard.com/charts/hot-100/2015-06-06,6/6/2015,97,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,2,,97,2,170
101,6/13/2015,101,101,101,101,101,101,101,101,101
101,6/20/2015,101,101,101,101,101,101,101,101,101
101,6/27/2015,101,101,101,101,101,101,101,101,101
101,7/4/2015,101,101,101,101,101,101,101,101,101
101,7/11/2015,101,101,101,101,101,101,101,101,101
101,7/18/2015,101,101,101,101,101,101,101,101,101
101,7/25/2015,101,101,101,101,101,101,101,101,101
101,8/1/2015,101,101,101,101,101,101,101,101,101
101,8/8/2015,101,101,101,101,101,101,101,101,101
101,8/15/2015,101,101,101,101,101,101,101,101,101
101,8/22/2015,101,101,101,101,101,101,101,101,101
101,8/29/2015,101,101,101,101,101,101,101,101,101
101,9/5/2015,101,101,101,101,101,101,101,101,101
101,9/12/2015,101,101,101,101,101,101,101,101,101
101,9/19/2015,101,101,101,101,101,101,101,101,101
101,9/26/2015,101,101,101,101,101,101,101,101,101
101,10/3/2015,101,101,101,101,101,101,101,101,101
101,10/10/2015,101,101,101,101,101,101,101,101,101
101,10/17/2015,101,101,101,101,101,101,101,101,101
http://www.billboard.com/charts/hot-100/2015-10-24,10/24/2015,95,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,,95,3,170
http://www.billboard.com/charts/hot-100/2015-10-31,10/31/2015,91,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,95,91,4,170
http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,81,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,91,81,5,170
http://www.billboard.com/charts/hot-100/2015-11-14,11/14/2015,76,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,81,76,6,170
http://www.billboard.com/charts/hot-100/2015-11-21,11/21/2015,71,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,76,71,7,170
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,69,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,71,69,8,170
http://www.billboard.com/charts/hot-100/2015-12-05,12/5/2015,69,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,69,69,9,170
http://www.billboard.com/charts/hot-100/2015-12-12,12/12/2015,57,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,69,57,10,170
http://www.billboard.com/charts/hot-100/2015-12-19,12/19/2015,45,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,57,45,11,170
http://www.billboard.com/charts/hot-100/2015-12-26,12/26/2015,28,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,45,28,12,170
http://www.billboard.com/charts/hot-100/2016-01-02,1/2/2016,19,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,28,19,13,170
http://www.billboard.com/charts/hot-100/2016-01-09,1/9/2016,13,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,19,13,14,170
http://www.billboard.com/charts/hot-100/2016-01-16,1/16/2016,9,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,13,9,15,170
http://www.billboard.com/charts/hot-100/2016-01-23,1/23/2016,5,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,9,5,16,170
http://www.billboard.com/charts/hot-100/2016-01-30,1/30/2016,4,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,5,4,17,170
http://www.billboard.com/charts/hot-100/2016-02-06,2/6/2016,4,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,4,4,18,170
http://www.billboard.com/charts/hot-100/2016-02-13,2/13/2016,3,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,4,3,19,170
http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,4,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,3,3,20,170
http://www.billboard.com/charts/hot-100/2016-02-27,2/27/2016,2,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,4,2,21,170
http://www.billboard.com/charts/hot-100/2016-03-05,3/5/2016,3,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,2,2,22,170
http://www.billboard.com/charts/hot-100/2016-03-12,3/12/2016,3,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,3,2,23,170
http://www.billboard.com/charts/hot-100/2016-03-19,3/19/2016,3,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,3,2,24,170
http://www.billboard.com/charts/hot-100/2016-03-26,3/26/2016,3,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,3,2,25,170
http://www.billboard.com/charts/hot-100/2016-04-02,4/2/2016,4,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,3,2,26,170
http://www.billboard.com/charts/hot-100/2016-04-09,4/9/2016,5,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,4,2,27,170
http://www.billboard.com/charts/hot-100/2016-04-16,4/16/2016,7,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,5,2,28,170
http://www.billboard.com/charts/hot-100/2016-04-23,4/23/2016,11,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,7,2,29,170
http://www.billboard.com/charts/hot-100/2016-04-30,4/30/2016,11,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,11,2,30,170
http://www.billboard.com/charts/hot-100/2016-05-07,5/7/2016,13,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,11,2,31,170
http://www.billboard.com/charts/hot-100/2016-05-14,5/14/2016,16,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,13,2,32,170
http://www.billboard.com/charts/hot-100/2016-05-21,5/21/2016,15,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,16,2,33,170
http://www.billboard.com/charts/hot-100/2016-05-28,5/28/2016,13,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,15,2,34,170
http://www.billboard.com/charts/hot-100/2016-06-04,6/4/2016,15,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,13,2,35,170
http://www.billboard.com/charts/hot-100/2016-06-11,6/11/2016,18,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,15,2,36,170
http://www.billboard.com/charts/hot-100/2016-06-18,6/18/2016,18,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,18,2,37,170
http://www.billboard.com/charts/hot-100/2016-06-25,6/25/2016,21,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,18,2,38,170
http://www.billboard.com/charts/hot-100/2016-07-02,7/2/2016,21,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,21,2,39,170
http://www.billboard.com/charts/hot-100/2016-07-09,7/9/2016,22,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,21,2,40,170
http://www.billboard.com/charts/hot-100/2016-07-16,7/16/2016,23,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,22,2,41,170
http://www.billboard.com/charts/hot-100/2016-07-23,7/23/2016,23,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,23,2,42,170
http://www.billboard.com/charts/hot-100/2016-07-30,7/30/2016,25,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,23,2,43,170
http://www.billboard.com/charts/hot-100/2016-08-06,8/6/2016,29,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,25,2,44,170
http://www.billboard.com/charts/hot-100/2016-08-13,8/13/2016,28,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,29,2,45,170
http://www.billboard.com/charts/hot-100/2016-08-20,8/20/2016,33,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,28,2,46,170
http://www.billboard.com/charts/hot-100/2016-08-27,8/27/2016,35,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,33,2,47,170
http://www.billboard.com/charts/hot-100/2016-09-03,9/3/2016,34,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,35,2,48,170
http://www.billboard.com/charts/hot-100/2016-09-10,9/10/2016,37,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,34,2,49,170
http://www.billboard.com/charts/hot-100/2016-09-17,9/17/2016,37,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,37,2,50,170
http://www.billboard.com/charts/hot-100/2016-09-24,9/24/2016,37,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,37,2,51,170
http://www.billboard.com/charts/hot-100/2016-10-01,10/1/2016,38,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,37,2,52,170
101,10/8/2016,101,101,101,101,101,101,101,101,101
101,10/15/2016,101,101,101,101,101,101,101,101,101
101,10/22/2016,101,101,101,101,101,101,101,101,101
101,10/29/2016,101,101,101,101,101,101,101,101,101
101,11/5/2016,101,101,101,101,101,101,101,101,101
101,11/12/2016,101,101,101,101,101,101,101,101,101
101,11/19/2016,101,101,101,101,101,101,101,101,101
101,11/26/2016,101,101,101,101,101,101,101,101,101
101,12/3/2016,101,101,101,101,101,101,101,101,101
101,12/10/2016,101,101,101,101,101,101,101,101,101
101,12/17/2016,101,101,101,101,101,101,101,101,101
101,12/24/2016,101,101,101,101,101,101,101,101,101
101,12/31/2016,101,101,101,101,101,101,101,101,101
101,1/7/2017,101,101,101,101,101,101,101,101,101
101,1/14/2017,101,101,101,101,101,101,101,101,101
101,1/21/2017,101,101,101,101,101,101,101,101,101
101,1/28/2017,101,101,101,101,101,101,101,101,101
101,2/4/2017,101,101,101,101,101,101,101,101,101
101,2/11/2017,101,101,101,101,101,101,101,101,101
101,2/18/2017,101,101,101,101,101,101,101,101,101
101,2/25/2017,101,101,101,101,101,101,101,101,101
101,3/4/2017,101,101,101,101,101,101,101,101,101
101,3/11/2017,101,101,101,101,101,101,101,101,101
101,3/18/2017,101,101,101,101,101,101,101,101,101
101,3/25/2017,101,101,101,101,101,101,101,101,101
101,4/1/2017,101,101,101,101,101,101,101,101,101
101,4/8/2017,101,101,101,101,101,101,101,101,101
101,4/15/2017,101,101,101,101,101,101,101,101,101
101,4/22/2017,101,101,101,101,101,101,101,101,101
101,4/29/2017,101,101,101,101,101,101,101,101,101
101,5/6/2017,101,101,101,101,101,101,101,101,101
101,5/13/2017,101,101,101,101,101,101,101,101,101
101,5/20/2017,101,101,101,101,101,101,101,101,101
101,5/27/2017,101,101,101,101,101,101,101,101,101
101,6/3/2017,101,101,101,101,101,101,101,101,101
101,6/10/2017,101,101,101,101,101,101,101,101,101
101,6/17/2017,101,101,101,101,101,101,101,101,101
101,6/24/2017,101,101,101,101,101,101,101,101,101
101,7/1/2017,101,101,101,101,101,101,101,101,101
101,7/8/2017,101,101,101,101,101,101,101,101,101
101,7/15/2017,101,101,101,101,101,101,101,101,101
101,7/22/2017,101,101,101,101,101,101,101,101,101
101,7/29/2017,101,101,101,101,101,101,101,101,101
101,8/5/2017,101,101,101,101,101,101,101,101,101
101,8/12/2017,101,101,101,101,101,101,101,101,101
101,8/19/2017,101,101,101,101,101,101,101,101,101
101,8/26/2017,101,101,101,101,101,101,101,101,101
101,9/2/2017,101,101,101,101,101,101,101,101,101
101,9/9/2017,101,101,101,101,101,101,101,101,101
101,9/16/2017,101,101,101,101,101,101,101,101,101
101,9/23/2017,101,101,101,101,101,101,101,101,101
101,9/30/2017,101,101,101,101,101,101,101,101,101
101,10/7/2017,101,101,101,101,101,101,101,101,101
101,10/14/2017,101,101,101,101,101,101,101,101,101
101,10/21/2017,101,101,101,101,101,101,101,101,101
101,10/28/2017,101,101,101,101,101,101,101,101,101
101,11/4/2017,101,101,101,101,101,101,101,101,101
101,11/11/2017,101,101,101,101,101,101,101,101,101
101,11/18/2017,101,101,101,101,101,101,101,101,101
101,11/25/2017,101,101,101,101,101,101,101,101,101
101,12/2/2017,101,101,101,101,101,101,101,101,101
