url,WeekID,WeekPosition,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,BPM
11,1/3/2015,110,11,11,11,11,11,11,11,11
11,1/10/2015,110,11,11,11,11,11,11,11,11
11,1/17/2015,110,11,11,11,11,11,11,11,11
11,1/24/2015,110,11,11,11,11,11,11,11,11
11,1/31/2015,110,11,11,11,11,11,11,11,11
http://www.billboard.com/charts/hot-100/2015-02-07,2/7/2015,86,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,,86,1,148
http://www.billboard.com/charts/hot-100/2015-02-14,2/14/2015,72,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,86,72,2,148
http://www.billboard.com/charts/hot-100/2015-02-21,2/21/2015,60,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,72,60,3,148
http://www.billboard.com/charts/hot-100/2015-02-28,2/28/2015,41,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,60,41,4,148
http://www.billboard.com/charts/hot-100/2015-03-07,3/7/2015,35,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,41,35,5,148
http://www.billboard.com/charts/hot-100/2015-03-14,3/14/2015,16,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,35,16,6,148
http://www.billboard.com/charts/hot-100/2015-03-21,3/21/2015,12,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,16,12,7,148
http://www.billboard.com/charts/hot-100/2015-03-28,3/28/2015,10,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,12,10,8,148
http://www.billboard.com/charts/hot-100/2015-04-04,4/4/2015,8,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,10,8,9,148
http://www.billboard.com/charts/hot-100/2015-04-11,4/11/2015,6,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,8,6,10,148
http://www.billboard.com/charts/hot-100/2015-04-18,4/18/2015,6,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,6,6,11,148
http://www.billboard.com/charts/hot-100/2015-04-25,4/25/2015,4,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,6,4,12,148
http://www.billboard.com/charts/hot-100/2015-05-02,5/2/2015,5,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,4,4,13,148
http://www.billboard.com/charts/hot-100/2015-05-09,5/9/2015,3,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,5,3,14,148
http://www.billboard.com/charts/hot-100/2015-05-16,5/16/2015,2,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,3,2,15,148
http://www.billboard.com/charts/hot-100/2015-05-23,5/23/2015,2,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,2,2,16,148
http://www.billboard.com/charts/hot-100/2015-05-30,5/30/2015,2,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,2,2,17,148
http://www.billboard.com/charts/hot-100/2015-06-06,6/6/2015,3,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,2,2,18,148
http://www.billboard.com/charts/hot-100/2015-06-13,6/13/2015,3,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,3,2,19,148
http://www.billboard.com/charts/hot-100/2015-06-20,6/20/2015,3,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,3,2,20,148
http://www.billboard.com/charts/hot-100/2015-06-27,6/27/2015,3,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,3,2,21,148
http://www.billboard.com/charts/hot-100/2015-07-04,7/4/2015,3,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,3,2,22,148
http://www.billboard.com/charts/hot-100/2015-07-11,7/11/2015,4,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,3,2,23,148
http://www.billboard.com/charts/hot-100/2015-07-18,7/18/2015,5,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,4,2,24,148
http://www.billboard.com/charts/hot-100/2015-07-25,7/25/2015,6,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,5,2,25,148
http://www.billboard.com/charts/hot-100/2015-08-01,8/1/2015,6,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,6,2,26,148
