url,WeekID,WeekPosition,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,BPM
11,1/3/2015,101,11,11,11,11,11,11,11,11
11,1/10/2015,101,11,11,11,11,11,11,11,11
11,1/17/2015,101,11,11,11,11,11,11,11,11
11,1/24/2015,101,11,11,11,11,11,11,11,11
11,1/31/2015,101,11,11,11,11,11,11,11,11
11,2/7/2015,101,11,11,11,11,11,11,11,11
11,2/14/2015,101,11,11,11,11,11,11,11,11
11,2/21/2015,101,11,11,11,11,11,11,11,11
11,2/28/2015,101,11,11,11,11,11,11,11,11
11,3/7/2015,101,11,11,11,11,11,11,11,11
11,3/14/2015,101,11,11,11,11,11,11,11,11
http://www.billboard.com/charts/hot-100/2015-03-21,3/21/2015,97,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,,97,1,139
http://www.billboard.com/charts/hot-100/2015-03-28,3/28/2015,93,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,97,93,2,139
http://www.billboard.com/charts/hot-100/2015-04-04,4/4/2015,98,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,93,93,3,139
http://www.billboard.com/charts/hot-100/2015-04-11,4/11/2015,82,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,98,82,4,139
http://www.billboard.com/charts/hot-100/2015-04-18,4/18/2015,64,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,82,64,5,139
http://www.billboard.com/charts/hot-100/2015-04-25,4/25/2015,42,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,64,42,6,139
http://www.billboard.com/charts/hot-100/2015-05-02,5/2/2015,40,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,42,40,7,139
http://www.billboard.com/charts/hot-100/2015-05-09,5/9/2015,37,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,40,37,8,139
http://www.billboard.com/charts/hot-100/2015-05-16,5/16/2015,30,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,37,30,9,139
http://www.billboard.com/charts/hot-100/2015-05-23,5/23/2015,24,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,30,24,10,139
http://www.billboard.com/charts/hot-100/2015-05-30,5/30/2015,22,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,24,22,11,139
http://www.billboard.com/charts/hot-100/2015-06-06,6/6/2015,20,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,22,20,12,139
http://www.billboard.com/charts/hot-100/2015-06-13,6/13/2015,17,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,20,17,13,139
http://www.billboard.com/charts/hot-100/2015-06-20,6/20/2015,19,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,17,17,14,139
http://www.billboard.com/charts/hot-100/2015-06-27,6/27/2015,16,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,19,16,15,139
